anime_id,anime_name,genres,type,number_of_episodes,rating,total_views,production_cost,total_box_office
21131,Gakusen Toshi Asterisk,"Action, Comedy, Ecchi, Fantasy, Romance, Sci-Fi",TV,12,64,121549,200000,45.0
16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Comedy, Slice of Life",TV,12,66,121264,250000,46.0
113596,Josee to Tora to Sakanatachi,"Drama, Romance, Slice of Life",MOVIE,1,82,120914,250000,53.0
125426,Gokushufudou,"Comedy, Slice of Life",ONA,5,71,120788,150000,9.0
107201,Kyokou Suiri,"Comedy, Mystery, Romance, Supernatural",TV,12,68,120720,300000,37.0
33,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",TV,25,83,120714,150000,39.0
100643,Made in Abyss: Fukaki Tamashii no Reimei,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Psychological, Sci-Fi",MOVIE,1,85,120498,250000,44.0
1195,Zero no Tsukaima,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",TV,13,67,120077,250000,52.0
100077,Hinamatsuri,"Comedy, Sci-Fi, Slice of Life, Supernatural",TV,12,80,120002,250000,37.0
142984,"Komi-san wa, Komyushou desu. 2","Comedy, Romance, Slice of Life",TV,12,79,119532,250000,41.0
161645,Kusuriya no Hitorigoto,"Drama, Mystery",TV,24,88,119314,150000,49.0
8769,Ore no Imouto ga Konna ni Kawaii Wake ga Nai,"Comedy, Slice of Life",TV,12,65,119136,250000,17.0
20811,Shingeki no Kyojin Gaiden: Kuinaki Sentaku,"Action, Fantasy",OVA,2,82,119083,150000,13.0
130592,Hataraku Maou-sama!!,"Comedy, Fantasy, Romance, Slice of Life",TV,12,66,117996,250000,38.0
20912,Hibike! Euphonium,"Drama, Music, Slice of Life",TV,13,80,117899,250000,7.0
7311,Suzumiya Haruhi no Shoushitsu,"Drama, Mystery, Sci-Fi, Supernatural",MOVIE,1,86,117599,300000,37.0
114043,Shokugeki no Souma: Gou no Sara,"Comedy, Drama, Ecchi",TV,13,71,117570,300000,25.0
7785,Yojouhan Shinwa Taikei,"Comedy, Mystery, Psychological, Romance",TV,11,85,117463,200000,51.0
114124,Yuukoku no Moriarty,"Drama, Mystery, Psychological",TV,11,80,116787,150000,43.0
133844,Overlord IV,"Action, Adventure, Fantasy",TV,13,80,116762,250000,26.0
166240,Kimetsu no Yaiba: Hashira Geiko-hen,"Action, Adventure, Drama, Fantasy, Supernatural",TV,8,81,116715,300000,49.0
154965,Yamada-kun to Lv999 no Koi wo Suru,"Comedy, Drama, Romance",TV,13,79,116609,300000,50.0
142770,Suzume no Tojimari,"Adventure, Fantasy, Mystery, Supernatural",MOVIE,1,82,116370,250000,59.0
19163,Date A Live II,"Action, Comedy, Ecchi, Fantasy, Romance, Sci-Fi",TV,10,68,116092,200000,14.0
128705,Blue Period,"Drama, Slice of Life",ONA,12,77,115839,100000,42.0
101001,Asobi Asobase,"Comedy, Slice of Life",TV,12,79,115583,200000,31.0
108241,Gleipnir,"Action, Ecchi, Mystery, Supernatural",TV,13,66,115368,250000,27.0
97832,citrus,"Drama, Romance",TV,12,60,115197,300000,8.0
790,Ergo Proxy,"Adventure, Mystery, Psychological, Sci-Fi",TV,23,76,115189,300000,25.0
21400,Kizumonogatari III: Reiketsu-hen,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",MOVIE,1,87,114935,250000,49.0
153288,Kaijuu 8-gou,"Action, Sci-Fi",TV,12,83,114398,150000,30.0
20513,PSYCHO-PASS 2,"Action, Psychological, Sci-Fi, Thriller",TV,11,71,114260,300000,9.0
107693,Mairimashita! Iruma-kun,"Comedy, Fantasy",TV,23,77,113857,300000,37.0
17729,Grisaia no Kajitsu,"Drama, Ecchi, Psychological, Romance",TV,13,71,113700,200000,43.0
113425,Kaifuku Jutsushi no Yarinaoshi,"Action, Adventure, Ecchi, Fantasy",TV,12,57,113441,250000,40.0
